datetime,y,yhat_dt,yhat_pdt
43681,45.0,56.83,45.453758727066194
43682,45.0,64.82,45.453758727066194
43683,45.0,56.83,45.453758727066194
43684,40.0,56.83,45.453758727066194
43685,40.0,56.83,45.453758727066194
43686,45.0,56.83,45.453758727066194
43687,45.0,52.8,45.453758727066194
43688,45.0,24.0,45.453758727066194
43689,46.17,24.0,45.453758727066194
43690,46.64,24.0,45.453758727066194
43691,45.48,64.86,45.453758727066194
43692,45.0,42.29,45.453758727066194
43693,45.0,45.38,45.453758727066194
43694,43.78,40.0,45.453758727066194
43695,57.43,58.39,45.453758727066194
43696,59.38,58.77,45.453758727066194
43697,60.01,60.01,45.453758727066194
43698,82.57,54.53,55.424171917398894
43699,82.6,77.9,55.424171917398894
43700,65.11,77.9,55.424171917398894
43701,65.11,78.2,55.424171917398894
43702,60.0,64.41,55.424171917398894
43703,65.11,87.02,45.453758727066194
43704,68.98,41.5,45.453758727066194
43705,68.78,41.5,45.453758727066194
43706,64.58,69.52,45.453758727066194
43707,76.65,69.52,45.453758727066194
43708,76.58,69.52,45.453758727066194
43709,76.65,69.52,45.453758727066194
43710,61.98,69.52,45.453758727066194
43711,76.78,45.0,45.453758727066194
43712,76.86,64.02,45.453758727066194
43713,76.77,69.66,55.424171917398894
43714,76.86,69.66,55.424171917398894
43715,69.18,69.66,55.424171917398894
43716,76.77,59.25,55.424171917398894
43717,69.24,57.78,55.424171917398894
43718,66.73,56.11,55.424171917398894
43719,76.8,66.91,55.424171917398894
43720,76.86,66.91,55.424171917398894
43721,77.04,69.62,55.424171917398894
43722,79.1,69.62,55.424171917398894
43723,79.1,70.04,55.424171917398894
43724,76.9,70.04,55.424171917398894
43725,79.1,59.81,55.424171917398894
43726,79.1,55.78,55.424171917398894
43727,74.98,65.62,55.424171917398894
43728,32.0,51.0,55.424171917398894
43729,60.93,59.49,45.453758727066194
43730,42.0,44.0,45.453758727066194
43731,31.02,59.49,45.453758727066194
43732,29.39,44.5,45.453758727066194
43733,29.56,44.5,45.453758727066194
43734,32.82,47.13,45.453758727066194
43735,45.29,42.28,45.453758727066194
43736,60.93,59.08,45.453758727066194
43737,58.51,46.7,45.453758727066194
43738,60.0,59.6,52.41202506265659
43739,60.0,57.15,52.41202506265659
43740,60.0,57.15,52.41202506265659
43741,60.0,69.93,52.41202506265659
43742,61.31,62.15,52.41202506265659
43743,59.41,59.34,55.424171917398894
43744,62.22,55.35,55.424171917398894
43745,65.1,55.35,55.424171917398894
43746,62.27,55.35,55.424171917398894
43747,62.26,55.35,55.424171917398894
43748,60.0,55.35,55.424171917398894
43749,60.0,55.35,55.424171917398894
43750,60.0,59.59,52.41202506265659
43751,58.51,60.0,45.453758727066194
43752,59.18,58.77,45.453758727066194
43753,40.0,0.0,45.453758727066194
43754,40.0,0.0,45.453758727066194
43755,24.9,44.5,45.453758727066194
43756,22.0,44.5,45.453758727066194
43757,21.0,32.52,45.453758727066194
43758,22.09,36.06,45.453758727066194
43759,23.37,43.0,45.453758727066194
43760,41.0,65.11,45.453758727066194
43761,57.82,66.0,45.453758727066194
43762,57.54,58.87,52.41202506265659
43763,60.25,58.87,52.41202506265659
43764,60.0,58.87,52.41202506265659
43765,60.0,58.87,52.41202506265659
43766,60.0,58.87,52.41202506265659
43767,65.1,59.15,52.41202506265659
43768,69.34,54.53,55.424171917398894
43769,66.96,54.53,55.424171917398894
43770,65.1,54.53,55.424171917398894
43771,60.0,65.1,55.424171917398894
43772,60.0,54.53,55.424171917398894
43773,60.0,54.53,55.424171917398894
43774,59.41,54.53,55.424171917398894
43775,60.0,77.9,55.424171917398894
43776,40.0,69.24,45.453758727066194
43777,34.9,43.0,45.453758727066194
43778,34.9,59.49,45.453758727066194
43779,21.0,44.5,45.453758727066194
43780,18.0,55.18,45.453758727066194
43781,20.9,45.16,45.453758727066194
43782,34.9,59.08,45.453758727066194
43783,57.0,77.9,45.453758727066194
43784,60.33,59.59,52.41202506265659
43785,60.0,55.35,55.424171917398894
43786,65.1,60.01,55.424171917398894
43787,69.26,60.01,55.424171917398894
43788,69.27,60.01,55.424171917398894
43789,69.28,55.35,55.424171917398894
43790,69.29,58.98,55.424171917398894
43791,82.0,58.5,55.424171917398894
43792,82.73,73.02,55.424171917398894
43793,82.2,67.76,55.424171917398894
43794,82.88,66.59,55.424171917398894
43795,82.1,66.59,55.424171917398894
43796,82.0,67.76,55.424171917398894
43797,77.14,68.85,55.424171917398894
43798,66.5,41.5,55.424171917398894
43799,69.22,59.58,55.424171917398894
43800,0.0,64.41,55.424171917398894
43801,25.1,62.94,45.453758727066194
43802,25.1,58.98,45.453758727066194
43803,25.1,41.74,45.453758727066194
43804,23.0,44.5,45.453758727066194
43805,24.49,59.49,45.453758727066194
43806,43.1,60.51,45.453758727066194
43807,69.24,66.72,45.453758727066194
43808,67.94,37.93,55.424171917398894
43809,69.39,61.03,55.424171917398894
43810,66.52,75.84,55.424171917398894
43811,67.84,75.84,55.424171917398894
43812,69.39,75.84,55.424171917398894
43813,69.39,75.84,55.424171917398894
43814,67.84,75.84,55.424171917398894
43815,69.23,68.85,55.424171917398894
43816,73.78,69.6,55.424171917398894
43817,77.24,69.6,55.424171917398894
43818,77.59,66.41,55.424171917398894
43819,77.69,66.41,55.424171917398894
43820,77.52,69.6,55.424171917398894
43821,77.06,73.54,55.424171917398894
43822,66.13,79.8,55.424171917398894
43823,68.12,77.05,55.424171917398894
43824,68.35,76.54,55.424171917398894
43825,66.01,76.54,55.424171917398894
43826,66.01,44.59,45.453758727066194
43827,58.99,41.8,45.453758727066194
43828,53.16,44.59,45.453758727066194
43829,53.48,37.6,45.453758727066194
43830,53.49,45.85,45.453758727066194
43831,54.0,44.59,45.453758727066194
43832,50.78,45.85,45.453758727066194
43833,51.02,41.64,45.453758727066194
43834,54.62,63.45,45.453758727066194
43835,55.84,69.22,52.41202506265659
43836,54.63,69.22,52.41202506265659
43837,51.03,69.22,52.41202506265659
43838,40.78,54.17,45.453758727066194
43839,44.14,49.83,45.453758727066194
43840,54.62,58.98,45.453758727066194
43841,52.11,85.52,55.424171917398894
43842,52.11,60.28,55.424171917398894
43843,52.34,63.17,55.424171917398894
43844,52.11,70.01,55.424171917398894
43845,51.48,66.64,52.41202506265659
43846,51.09,63.73,45.453758727066194
43847,51.03,60.0,45.453758727066194
43848,54.62,59.21,45.453758727066194
43849,40.78,45.0,45.453758727066194
43850,34.78,43.44,45.453758727066194
43851,29.17,32.67,45.453758727066194
43852,30.0,23.99,45.453758727066194
43853,35.41,26.25,45.453758727066194
43854,46.9,32.0,45.453758727066194
43855,53.58,63.09,45.453758727066194
43856,53.79,65.11,45.453758727066194
43857,54.36,60.14000000000001,52.41202506265659
43858,51.1,64.35,52.41202506265659
43859,49.1,64.3,52.41202506265659
43860,50.68,64.3,52.41202506265659
43861,54.36,64.3,52.41202506265659
43862,54.35,60.83,52.41202506265659
43863,54.7,65.46,55.424171917398894
43864,58.0,66.65,55.424171917398894
43865,70.01,64.46,55.424171917398894
43866,76.0,66.65,55.424171917398894
43867,73.01,66.65,55.424171917398894
43868,73.0,66.65,55.424171917398894
43869,70.01,66.65,55.424171917398894
43870,56.46,64.6,55.424171917398894
43871,53.88,75.84,55.424171917398894
43872,54.52,59.08,45.453758727066194
43873,45.79,61.16,45.453758727066194
43874,38.0,61.16,45.453758727066194
43875,30.86,49.83,45.453758727066194
43876,28.64,49.83,45.453758727066194
43877,36.79,49.83,45.453758727066194
43878,43.45,58.77,45.453758727066194
43879,54.15,60.01,45.453758727066194
43880,56.99,59.34,55.424171917398894
43881,68.97,59.34,55.424171917398894
43882,58.45,59.34,55.424171917398894
43883,54.72,75.84,55.424171917398894
43884,54.73,69.66,55.424171917398894
43885,54.73,75.84,55.424171917398894
43886,54.72,75.84,55.424171917398894
43887,57.45,61.03,55.424171917398894
43888,68.97,69.62,55.424171917398894
43889,70.5,70.04,55.424171917398894
43890,69.22,64.7,55.424171917398894
43891,69.21,64.7,55.424171917398894
43892,69.14,64.7,55.424171917398894
43893,70.49,70.04,55.424171917398894
43894,83.82,69.62,55.424171917398894
43895,83.8,60.3,55.424171917398894
43896,54.61,67.91,55.424171917398894
43897,46.24,65.83,55.424171917398894
43898,45.08,65.83,55.424171917398894
43899,36.43,65.83,55.424171917398894
43900,33.6,37.5,55.424171917398894
43901,36.08,65.83,55.424171917398894
43902,45.96,65.83,55.424171917398894
43903,50.67,65.83,55.424171917398894
43904,54.12,66.5,55.424171917398894
43905,54.61,49.58,55.424171917398894
43906,54.61,69.02,55.424171917398894
43907,54.12,75.83,55.424171917398894
43908,52.37,75.83,55.424171917398894
43909,50.49,59.73,55.424171917398894
43910,50.49,74.05,55.424171917398894
43911,54.16,49.58,55.424171917398894
43912,56.49,70.0,55.424171917398894
43913,62.81,69.09,55.424171917398894
43914,70.44,43.28,55.424171917398894
43915,69.21,69.09,55.424171917398894
43916,66.0,43.28,55.424171917398894
43917,62.81,73.34,55.424171917398894
43918,58.57,84.3,55.424171917398894
43919,55.99,69.72,55.424171917398894
43920,60.51,69.35,55.424171917398894
43921,60.51,43.04,45.453758727066194
43922,76.68,43.04,45.453758727066194
43923,54.56,43.04,45.453758727066194
43924,54.24,41.7,45.453758727066194
43925,53.98,41.7,45.453758727066194
43926,54.56,43.5,45.453758727066194
43927,54.56,46.18,45.453758727066194
43928,50.4,66.47,45.453758727066194
43929,51.02,63.78,55.424171917398894
43930,54.12,67.3,55.424171917398894
43931,54.12,67.84,55.424171917398894
43932,53.88,69.5,55.424171917398894
43933,50.88,53.84,55.424171917398894
43934,50.38,60.86,55.424171917398894
43935,50.4,59.34,55.424171917398894
43936,49.78,65.52,55.424171917398894
43937,49.78,59.34,55.424171917398894
43938,50.8,78.1,55.424171917398894
43939,50.4,64.41,55.424171917398894
43940,50.8,64.41,55.424171917398894
43941,50.89,78.2,55.424171917398894
43942,50.38,77.9,55.424171917398894
43943,49.9,63.98,55.424171917398894
43944,76.7,62.89,45.453758727066194
43945,33.17,63.09,45.453758727066194
43946,31.99,62.89,45.453758727066194
43947,29.29,42.4,45.453758727066194
43948,23.81,39.0,45.453758727066194
