datetime,y,yhat_dt,yhat_pdt
78625,85.0,138.67,85.43303901437375
78626,87.16,111.53,60.39089353612168
78627,78.81,111.53,60.39089353612168
78628,74.0,54.17,60.39089353612168
78629,78.0,111.53,60.39089353612168
78630,88.0,113.06,67.04442618806894
78631,109.44,165.49,90.01346895074937
78632,118.61,81.15,114.6907786429365
78633,124.17,114.94,109.74430406852238
78634,115.29,100.0,108.17569090909087
78635,109.44,86.26,108.17569090909087
78636,91.2,94.71,109.72891891891885
78637,95.0,86.1,90.59906565656574
78638,100.0,86.26,108.17569090909087
78639,106.0,119.61,114.6907786429365
78640,112.72,120.16,109.74430406852238
78641,135.0,132.34,138.21484662576682
78642,138.63,122.2,138.21484662576682
78643,126.69,144.97,138.21484662576682
78644,122.0,204.99,138.21484662576682
78645,114.5,120.0,138.21484662576682
78646,107.6,122.01,114.6907786429365
78647,87.5,67.29,67.04442618806894
78648,59.2,68.74,59.34972222222255
78649,88.53,57.42,45.42852713178301
78650,85.0,52.81,45.42852713178301
78651,60.0,65.37,45.42852713178301
78652,32.0,42.98,45.42852713178301
78653,42.5,65.37,45.42852713178301
78654,28.63,0.0,45.42852713178301
78655,100.6,57.0,45.42852713178301
78656,120.46,101.84,52.346642716535655
78657,122.01,55.03,52.346642716535655
78658,118.05,68.08,52.346642716535655
78659,100.5,74.49,52.346642716535655
78660,88.0,42.22,35.63371699053302
78661,88.0,81.09,52.346642716535655
78662,93.4,45.68,35.63371699053302
78663,108.91,50.0,52.346642716535655
78664,115.11,192.41,91.64655172413794
78665,122.0,130.38,59.34972222222255
78666,122.0,122.0,109.72891891891885
78667,121.84,122.0,109.72891891891885
78668,122.0,65.57,91.64655172413794
78669,114.46,65.57,91.64655172413794
78670,114.65,138.0,146.18277777777786
78671,109.0,72.0,59.34972222222255
78672,96.0,81.9,59.34972222222255
78673,102.0,32.64,68.86308357348703
78674,104.19,32.64,68.86308357348703
78675,96.58,32.64,68.86308357348703
78676,96.0,40.95,35.63371699053302
78677,90.3,45.81,35.63371699053302
78678,90.0,55.37,68.86308357348703
78679,104.0,55.37,68.86308357348703
78680,107.0,141.24,52.346642716535655
78681,109.78,95.03,52.346642716535655
78682,42.08,0.32,35.63371699053302
78683,15.93,32.97,35.63371699053302
78684,9.86,0.95,35.63371699053302
