datetime,y,yhat_dt,yhat_pdt
34945,66.87,69.3,53.19078766363468
34946,66.87,65.38,53.19078766363468
34947,65.08,55.09,53.19078766363468
34948,64.88,65.38,53.19078766363468
34949,65.08,65.38,53.19078766363468
34950,66.87,54.67,53.19078766363468
34951,68.75,66.93,53.19078766363468
34952,69.32,55.57,65.87748636859325
34953,76.8,67.26,65.87748636859325
34954,71.28,69.33,65.87748636859325
34955,70.12,67.34,65.87748636859325
34956,69.3,67.34,65.87748636859325
34957,69.23,67.34,65.87748636859325
34958,68.75,67.24,65.87748636859325
34959,69.35,77.84,65.87748636859325
34960,70.48,56.74,65.87748636859325
34961,78.55,81.65,65.87748636859325
34962,79.54,80.54,73.21297823596792
34963,76.67,80.54,73.21297823596792
34964,71.95,80.0,65.87748636859325
34965,71.71,75.96,65.87748636859325
34966,69.36,69.41,65.87748636859325
34967,69.21,69.27,65.87748636859325
34968,69.81,67.27,65.87748636859325
34969,69.23,70.22,53.19078766363468
34970,69.14,70.22,53.19078766363468
34971,67.73,67.59,53.19078766363468
34972,66.87,67.59,53.19078766363468
34973,67.73,54.31,53.19078766363468
34974,69.28,63.28,53.19078766363468
34975,70.67,65.48,53.19078766363468
34976,69.37,64.48,65.87748636859325
34977,70.25,69.43,65.87748636859325
34978,69.96,74.28,65.87748636859325
34979,68.78,71.57,65.87748636859325
34980,68.78,79.02,65.87748636859325
34981,67.32,74.01,65.87748636859325
34982,68.77,71.55,65.87748636859325
34983,69.16,76.35,65.87748636859325
34984,71.62,69.86,65.87748636859325
34985,80.68,81.02,65.87748636859325
34986,81.06,69.24,73.21297823596792
34987,77.03,69.24,73.21297823596792
34988,80.68,70.78,65.87748636859325
34989,71.76,72.83,65.87748636859325
34990,70.25,70.47,65.87748636859325
34991,69.23,55.11,65.87748636859325
34992,70.65,62.44,53.19078766363468
34993,70.68,70.63,53.19078766363468
34994,70.65,73.01,53.19078766363468
34995,70.19,49.34,53.19078766363468
34996,69.23,49.34,53.19078766363468
34997,69.23,54.73,53.19078766363468
34998,70.12,70.7,53.19078766363468
34999,70.31,69.28,53.19078766363468
35000,67.22,67.5,53.19078766363468
35001,69.29,69.17,53.19078766363468
35002,69.2,69.19,53.19078766363468
35003,67.11,69.19,53.19078766363468
35004,66.91,67.27,53.19078766363468
35005,66.92,67.22,53.19078766363468
35006,66.92,70.66,53.19078766363468
35007,67.13,54.81,53.19078766363468
35008,70.31,53.27,65.87748636859325
35009,70.4,70.59,65.87748636859325
35010,71.65,64.48,65.87748636859325
35011,71.72,71.35,65.87748636859325
35012,70.62,71.35,65.87748636859325
35013,70.42,57.97,65.87748636859325
35014,69.36,69.37,65.87748636859325
35015,67.16,69.23,65.87748636859325
35016,69.29,55.6,53.19078766363468
35017,69.25,73.01,53.19078766363468
35018,69.21,73.01,53.19078766363468
35019,67.73,56.67,53.19078766363468
35020,66.87,50.11,53.19078766363468
35021,66.87,48.98,53.19078766363468
35022,67.73,60.25,53.19078766363468
35023,68.77,68.48,53.19078766363468
35024,68.77,51.3,53.19078766363468
35025,70.7,55.6,53.19078766363468
35026,69.37,69.39,65.87748636859325
35027,70.67,69.39,65.87748636859325
35028,69.28,70.2,65.87748636859325
35029,69.27,68.0,65.87748636859325
35030,68.34,78.78,65.87748636859325
35031,69.27,66.15,65.87748636859325
35032,70.59,60.06,65.87748636859325
35033,76.83,81.02,65.87748636859325
35034,81.04,81.02,65.87748636859325
35035,80.78,79.51,65.87748636859325
35036,78.39,75.0,65.87748636859325
35037,71.68,61.0,65.87748636859325
35038,70.7,64.63,65.87748636859325
35039,69.41,69.41,65.87748636859325
35040,69.23,71.57,65.87748636859325
35041,67.34,55.61,53.19078766363468
35042,66.87,56.63,53.19078766363468
35043,65.16,66.87,53.19078766363468
35044,66.5,54.48,53.19078766363468
35045,65.2,54.48,53.19078766363468
35046,69.22,52.94,53.19078766363468
35047,70.7,50.56,53.19078766363468
35048,70.79,54.31,65.87748636859325
35049,76.49,67.61,65.87748636859325
35050,71.88,70.83,65.87748636859325
35051,71.16,69.14,65.87748636859325
35052,70.8,69.14,65.87748636859325
35053,71.15,69.14,65.87748636859325
35054,71.16,70.78,65.87748636859325
35055,71.15,58.0,65.87748636859325
35056,72.06,58.0,73.21297823596792
35057,81.01,55.6,73.21297823596792
35058,72.5,63.28,73.21297823596792
35059,72.46,63.28,73.21297823596792
35060,72.33,55.6,73.21297823596792
35061,70.71,67.49,65.87748636859325
35062,67.21,59.25,65.87748636859325
35063,67.05,52.0,53.19078766363468
35064,76.23,57.12,46.58281645569609
35065,74.12,57.12,46.58281645569609
35066,67.87,57.12,46.58281645569609
35067,68.02,57.12,46.58281645569609
35068,70.0,41.41,44.22946951429559
35069,70.0,50.33,44.22946951429559
35070,64.83,50.33,44.22946951429559
35071,60.0,49.74,44.22946951429559
35072,64.83,43.27,46.58281645569609
35073,64.19,59.24,53.19078766363468
35074,70.3,68.0,53.19078766363468
35075,70.34,62.92,53.19078766363468
35076,70.34,67.46,53.19078766363468
35077,67.67,56.11,53.19078766363468
35078,70.36,55.0,53.19078766363468
35079,64.51,50.2,53.19078766363468
35080,64.89,64.78,53.19078766363468
35081,65.22,52.48,53.19078766363468
35082,66.0,115.0,53.19078766363468
35083,67.79,57.22,65.87748636859325
35084,68.29,54.0,65.87748636859325
35085,68.25,57.88,65.87748636859325
35086,67.94,52.0,53.19078766363468
35087,68.0,51.36,53.19078766363468
