Year,MAE,RMSE,MdAPE
2015,10.91,14.42,22.25
2016,11.8,19.02,16.05
2017,12.14,17.03,15.95
2018,19.23,21.77,29.07
2019,15.66,19.32,31.77
2020,48.98,78.96,27.43
2021,96.73,124.15,32.95
2022,51.08,66.23,35.69
2023,39.68,64.36,29.37
