Year,MAE,RMSE,MdAPE
2016,2.41,3.76,4.19
2017,4.61,7.25,6.1
2018,4.61,6.29,5.94
2019,8.12,10.27,10.8
2020,7.01,9.92,12.38
2021,6.96,9.47,5.25
2022,14.01,19.4,3.91
2023,9.95,13.64,6.52
2024,19.28,37.24,12.65
