Year,MAE,RMSE,MdAPE
2015,8.99,12.1,18.35
2016,10.39,18.13,13.32
2017,9.97,13.16,14.86
2018,13.22,15.16,20.45
2019,12.78,15.8,25.64
2020,58.55,90.83,36.69
2021,96.39,119.86,33.35
2022,56.34,67.72,42.19
2023,32.74,57.31,23.15
