Year,MAE,RMSE,MdAPE
2016,9.55,12.13,20.61
2017,10.38,16.61,14.92
2018,9.17,11.67,13.3
2019,18.36,20.14,29.07
2020,12.88,15.72,26.88
2021,49.59,81.22,24.11
2022,90.39,116.96,30.56
2023,39.15,49.66,29.23
2024,30.09,53.45,21.8
