Datetime,y,yhat_rf,yhat_trf
2017-01-01 00:00:00,51.1,52.873099999999994,52.2381970960463
2017-01-01 01:00:00,49.41,52.24619999999998,52.2381970960463
2017-01-01 02:00:00,49.42,50.26289999999998,51.91088938181324
2017-01-01 03:00:00,49.45,48.82200000000002,50.618003088140306
2017-01-01 04:00:00,48.97,44.46500000000001,48.236680962424835
2017-01-01 05:00:00,48.75,44.541000000000004,48.218440951093974
2017-01-01 06:00:00,48.76,45.00340000000002,48.236680962424835
2017-01-01 07:00:00,48.97,47.8738,48.236680962424835
2017-01-01 08:00:00,49.0,48.49280000000002,49.401698372505535
2017-01-01 09:00:00,47.1,50.77960000000001,47.12819148937466
2017-01-01 10:00:00,48.98,55.15270000000004,47.61385850938165
2017-01-01 11:00:00,49.45,51.3075,52.16845953149849
2017-01-01 12:00:00,49.45,51.328500000000005,52.060906638958606
2017-01-01 13:00:00,49.18,50.22860000000001,51.8330359958981
2017-01-01 14:00:00,48.3,48.9123,45.54534441135606
2017-01-01 15:00:00,49.21,49.87350000000001,45.62850837238677
2017-01-01 16:00:00,49.42,47.37000000000001,44.51553938887771
2017-01-01 17:00:00,51.13,50.86200000000001,53.444281220546884
2017-01-01 18:00:00,51.31,51.74879999999999,53.91890488483486
2017-01-01 19:00:00,51.19,53.549099999999996,54.19927134567823
2017-01-01 20:00:00,51.17,54.95739999999998,54.50206235129014
2017-01-01 21:00:00,51.13,55.823100000000004,59.71425610424205
2017-01-01 22:00:00,49.44,53.22689999999998,52.584796567980746
2017-01-01 23:00:00,49.32,53.4412,51.1334900316733
2017-01-02 00:00:00,51.1,58.111700000000035,48.47518215075554
2017-01-02 01:00:00,49.55,45.59450000000001,48.392458768320445
2017-01-02 02:00:00,49.54,44.65549999999998,44.104479832702275
2017-01-02 03:00:00,49.16,43.72060000000001,44.096634942976195
2017-01-02 04:00:00,47.06,43.28340000000001,44.071049999915516
2017-01-02 05:00:00,48.94,43.44120000000001,43.743672838869124
2017-01-02 06:00:00,51.06,46.081800000000015,43.97610682715979
2017-01-02 07:00:00,51.1,51.746600000000015,46.34512357444332
2017-01-02 08:00:00,51.54,49.29480000000002,46.85616925557596
2017-01-02 09:00:00,51.25,53.47420000000004,50.6808454113826
2017-01-02 10:00:00,51.25,53.483300000000014,50.36735154914448
2017-01-02 11:00:00,51.24,52.70610000000001,50.31102705113303
2017-01-02 12:00:00,51.15,52.16040000000002,50.01621263628079
2017-01-02 13:00:00,49.8,52.81470000000003,50.177849195103
2017-01-02 14:00:00,51.15,53.17080000000004,50.36735154914448
2017-01-02 15:00:00,51.28,52.6017,53.661529247495764
2017-01-02 16:00:00,55.29,52.946400000000004,53.661529247495764
2017-01-02 17:00:00,66.0,109.99879999999999,74.88413766191997
2017-01-02 18:00:00,70.0,112.55830000000002,75.27247701034885
2017-01-02 19:00:00,70.0,130.9565,75.27247701034885
2017-01-02 20:00:00,64.0,123.2605,75.42131893907003
2017-01-02 21:00:00,56.41,57.403,53.704808617173796
2017-01-02 22:00:00,51.31,54.267099999999964,53.4039949332947
2017-01-02 23:00:00,51.51,52.42639999999997,52.342442384565715
2017-01-03 00:00:00,49.95,57.32150000000005,48.29895504559429
2017-01-03 01:00:00,49.35,45.421099999999996,48.394690327008384
2017-01-03 02:00:00,49.4,43.716400000000014,46.94417585324101
2017-01-03 03:00:00,49.0,44.79619999999999,47.82262382307145
2017-01-03 04:00:00,48.98,44.18139999999998,47.72428170989727
2017-01-03 05:00:00,49.0,45.00369999999999,47.97536173613808
2017-01-03 06:00:00,49.45,51.48370000000002,49.62150202817748
2017-01-03 07:00:00,51.57,52.2002,50.277344203373744
2017-01-03 08:00:00,57.61,56.05570000000001,50.96547988728447
2017-01-03 09:00:00,58.54,56.36470000000001,52.309639060505354
2017-01-03 10:00:00,58.54,55.50320000000004,53.41979957977424
2017-01-03 11:00:00,61.31,55.12020000000005,53.41979957977424
2017-01-03 12:00:00,61.25,54.80160000000004,53.41979957977424
2017-01-03 13:00:00,51.58,55.38120000000004,53.41979957977424
2017-01-03 14:00:00,51.57,55.182000000000016,53.41979957977424
2017-01-03 15:00:00,57.61,56.61900000000002,53.41979957977424
2017-01-03 16:00:00,73.0,57.82500000000002,53.87562551515682
2017-01-03 17:00:00,71.0,60.259899999999995,71.57221837390209
2017-01-03 18:00:00,85.0,60.6124,66.85102176217411
2017-01-03 19:00:00,91.0,71.55480000000001,71.94882955311286
2017-01-03 20:00:00,80.0,66.93740000000001,74.52915887660744
2017-01-03 21:00:00,62.19,60.59910000000005,61.9250215452503
2017-01-03 22:00:00,51.58,55.7663,53.27830035094421
2017-01-03 23:00:00,51.51,54.66299999999998,53.921614266450305
2017-01-04 00:00:00,51.2,54.49440000000002,50.4249832570897
2017-01-04 01:00:00,49.45,50.051899999999996,47.14481032875359
2017-01-04 02:00:00,49.0,48.02749999999998,49.36886112048978
2017-01-04 03:00:00,48.76,46.45509999999999,48.1836447075448
2017-01-04 04:00:00,47.07,44.8727,48.03504361941623
2017-01-04 05:00:00,48.76,44.720200000000006,46.81287276004762
2017-01-04 06:00:00,49.55,49.435500000000005,45.93046342073681
2017-01-04 07:00:00,64.01,53.6791,47.28093172042687
2017-01-04 08:00:00,64.11,56.45870000000004,52.301998999077924
2017-01-04 09:00:00,64.13,57.65850000000003,50.522602584374525
2017-01-04 10:00:00,64.1,57.53030000000003,51.56446571801509
2017-01-04 11:00:00,64.06,56.33800000000002,50.46759290495138
2017-01-04 12:00:00,64.04,56.87690000000002,50.499199170143754
