datetime,y,yhat_dt,yhat_pdt
52417,40.74,54.48,60.55951721108582
52418,35.0,54.48,60.55951721108582
52419,21.44,43.69,60.55951721108582
52420,18.35,57.86,60.55951721108582
52421,25.48,49.88,60.55951721108582
52422,36.29,53.44,60.55951721108582
52423,46.55,66.43,60.55951721108582
52424,46.5,51.39,60.55951721108582
52425,47.43,68.2,60.55951721108582
52426,46.68,52.52,60.55951721108582
52427,45.74,52.52,60.55951721108582
52428,45.15,75.5,60.55951721108582
52429,43.85,75.5,60.55951721108582
52430,40.77,64.14,60.55951721108582
52431,45.07,75.5,60.55951721108582
52432,50.02,68.2,60.55951721108582
52433,46.5,68.2,60.55951721108582
52434,63.66,89.3,60.55951721108582
52435,64.2,89.3,60.55951721108582
52436,64.2,89.3,60.55951721108582
52437,63.96,68.2,60.55951721108582
52438,40.74,68.2,60.55951721108582
52439,33.38,82.49,60.55951721108582
52440,29.98,57.21,60.55951721108582
52441,40.43,50.0,50.040269238497196
52442,40.43,46.1,50.040269238497196
52443,34.84,46.1,50.040269238497196
52444,29.03,39.5,44.91906061259702
52445,30.05,49.4,33.56739911727623
52446,33.67,41.98,33.56739911727623
52447,40.43,50.01,50.040269238497196
52448,41.23,57.48,50.040269238497196
52449,51.93,49.61,60.55951721108582
52450,51.93,54.55,60.55951721108582
52451,51.93,66.28,60.55951721108582
52452,50.94,60.6,60.55951721108582
52453,41.23,56.95,60.55951721108582
52454,26.03,50.1,50.040269238497196
52455,30.51,69.26,50.040269238497196
52456,41.23,45.95,50.040269238497196
52457,41.52,62.41,60.55951721108582
52458,43.96,49.61,60.55951721108582
52459,45.52,44.0,60.55951721108582
52460,49.74,48.42,60.55951721108582
52461,47.08,59.52,60.55951721108582
52462,47.4,48.42,60.55951721108582
52463,47.9,67.98,60.55951721108582
52464,44.92,42.09,60.55951721108582
52465,39.8,31.13,50.040269238497196
52466,30.25,29.84,50.040269238497196
52467,26.71,29.84,50.040269238497196
52468,20.0,17.65,50.040269238497196
52469,17.22,17.65,50.040269238497196
52470,17.42,39.68,50.040269238497196
52471,18.89,3.3,50.040269238497196
52472,24.89,41.87,33.56739911727623
52473,28.9,33.0,50.040269238497196
52474,40.02,33.0,50.040269238497196
52475,38.9,29.19,50.040269238497196
52476,41.3,59.64,50.040269238497196
52477,42.29,59.64,50.040269238497196
52478,38.94,53.05,50.040269238497196
52479,39.0,33.0,50.040269238497196
52480,41.99,56.0,50.040269238497196
52481,43.16,58.68,60.55951721108582
52482,53.78,49.6,60.55951721108582
52483,55.0,54.9,60.55951721108582
52484,56.61,65.86,60.55951721108582
52485,55.61,65.03,60.55951721108582
52486,51.23,48.42,60.55951721108582
52487,43.96,48.42,60.55951721108582
52488,39.8,39.58,50.040269238497196
52489,35.5,31.13,50.040269238497196
52490,25.43,24.42,50.040269238497196
52491,20.03,17.65,50.040269238497196
52492,15.44,17.65,50.040269238497196
52493,15.0,17.65,50.040269238497196
52494,15.2,24.42,50.040269238497196
52495,23.32,33.6,33.56739911727623
52496,32.0,33.6,33.56739911727623
52497,40.22,34.5,33.56739911727623
52498,40.91,46.8,33.56739911727623
52499,40.91,44.5,33.56739911727623
52500,40.91,41.69,33.56739911727623
52501,40.91,61.88,50.040269238497196
52502,40.12,44.5,33.56739911727623
52503,38.51,48.03,50.040269238497196
52504,40.72,69.26,50.040269238497196
52505,44.0,53.78,60.55951721108582
52506,55.0,70.01,60.55951721108582
52507,55.0,51.82,60.55951721108582
52508,55.0,48.42,60.55951721108582
52509,45.0,48.42,60.55951721108582
52510,40.22,43.54,60.55951721108582
52511,34.7,43.54,60.55951721108582
52512,23.92,40.28,50.040269238497196
52513,25.6,37.64,50.040269238497196
52514,25.5,61.4,33.56739911727623
52515,17.35,16.89,44.91906061259702
52516,11.24,16.89,44.91906061259702
52517,11.5,36.45,44.91906061259702
52518,37.84,70.68,44.91906061259702
52519,49.05,57.0,50.040269238497196
52520,45.27,75.36,60.55951721108582
52521,48.34,75.36,60.55951721108582
52522,41.12,51.49,60.55951721108582
52523,40.91,46.51,60.55951721108582
52524,40.91,40.12,60.55951721108582
52525,40.22,46.51,60.55951721108582
52526,39.13,59.15,60.55951721108582
52527,40.22,60.8,60.55951721108582
52528,50.6,48.64,60.55951721108582
52529,52.44,59.41,60.55951721108582
52530,56.98,69.16,60.55951721108582
52531,56.95,69.16,60.55951721108582
52532,55.59,63.47,60.55951721108582
52533,49.01,65.23,60.55951721108582
52534,45.6,47.21,60.55951721108582
52535,46.9,50.97,60.55951721108582
52536,40.91,33.83,60.55951721108582
52537,33.0,33.83,60.55951721108582
52538,30.67,37.0,50.040269238497196
52539,25.46,35.26,50.040269238497196
52540,23.0,35.26,50.040269238497196
52541,23.0,35.26,50.040269238497196
52542,29.51,35.26,50.040269238497196
52543,40.91,34.06,60.55951721108582
52544,46.25,48.42,60.55951721108582
52545,47.73,48.42,60.55951721108582
52546,45.44,45.52,60.55951721108582
52547,41.65,46.4,60.55951721108582
52548,40.22,46.4,60.55951721108582
52549,39.5,45.52,60.55951721108582
52550,39.5,45.52,60.55951721108582
52551,44.28,102.4,60.55951721108582
52552,54.76,58.71,60.55951721108582
52553,57.21,51.0,60.55951721108582
52554,74.2,82.59,60.55951721108582
52555,59.7,82.69,60.55951721108582
52556,59.72,63.0,60.55951721108582
52557,56.0,51.0,60.55951721108582
52558,49.75,48.42,60.55951721108582
52559,40.91,48.42,60.55951721108582
52560,38.52,34.06,60.55951721108582
52561,29.02,34.9,50.040269238497196
52562,21.83,24.42,50.040269238497196
52563,21.69,24.42,50.040269238497196
52564,16.0,20.14,50.040269238497196
52565,23.05,24.42,50.040269238497196
52566,36.04,24.42,50.040269238497196
52567,43.31,33.83,60.55951721108582
52568,45.46,48.42,60.55951721108582
52569,48.02,102.4,60.55951721108582
52570,47.21,56.2,60.55951721108582
52571,41.57,44.4,60.55951721108582
52572,43.08,43.99,60.55951721108582
