Datetime,y,yhat,yhat_tuned
2017-01-01 00:00:00,51.1,52.1911850067746,53.477352447612084
2017-01-01 01:00:00,49.41,52.049357657731655,53.627735957780196
2017-01-01 02:00:00,49.42,50.64259787819089,53.1084774512704
2017-01-01 03:00:00,49.45,50.415266490288666,50.576034145899385
2017-01-01 04:00:00,48.97,47.711767089787394,48.998519078407426
2017-01-01 05:00:00,48.75,46.66473093483606,48.722639926425906
2017-01-01 06:00:00,48.76,49.00972238844431,49.058460944331294
2017-01-01 07:00:00,48.97,48.823772074845905,49.298216686956806
2017-01-01 08:00:00,49.0,51.15498650347367,51.19485469572248
2017-01-01 09:00:00,47.1,48.71971884745305,51.99508258413219
2017-01-01 10:00:00,48.98,51.57088552208839,53.627632718120566
2017-01-01 11:00:00,49.45,53.14289053181731,53.630511777433234
2017-01-01 12:00:00,49.45,54.07135723260041,53.61442362610291
2017-01-01 13:00:00,49.18,51.17596665350282,52.65104580311656
2017-01-01 14:00:00,48.3,46.35185433670647,50.973746911062314
2017-01-01 15:00:00,49.21,51.373051565906856,51.565030093266465
2017-01-01 16:00:00,49.42,51.39821573380782,51.34779423955429
2017-01-01 17:00:00,51.13,52.657508475349516,53.500258574689724
2017-01-01 18:00:00,51.31,55.574651589610355,55.00615589994719
2017-01-01 19:00:00,51.19,56.65431784845986,58.16105836862651
2017-01-01 20:00:00,51.17,56.34311749493869,57.940731987500975
2017-01-01 21:00:00,51.13,54.569953604031205,54.89966109955573
2017-01-01 22:00:00,49.44,55.18656562069865,53.143601332819934
2017-01-01 23:00:00,49.32,55.32471386432203,51.929976230615445
2017-01-02 00:00:00,51.1,58.560095806217475,53.96151042970823
2017-01-02 01:00:00,49.55,52.75805708490363,51.25298357425443
2017-01-02 02:00:00,49.54,50.5678866655416,50.944106366301035
2017-01-02 03:00:00,49.16,47.0246101486028,49.460420780401755
2017-01-02 04:00:00,47.06,45.67386869024127,47.877806291055194
2017-01-02 05:00:00,48.94,46.05497128709879,48.1740528058337
2017-01-02 06:00:00,51.06,49.09162888153395,50.67725505778261
2017-01-02 07:00:00,51.1,52.764693637795645,53.65000730733016
2017-01-02 08:00:00,51.54,54.94299707456467,57.77630552097132
2017-01-02 09:00:00,51.25,56.72307818793941,59.38034038499062
2017-01-02 10:00:00,51.25,56.5588594892446,58.66308301092762
2017-01-02 11:00:00,51.24,57.65805481142107,57.012728942522884
2017-01-02 12:00:00,51.15,58.80386936722749,56.64303273038321
2017-01-02 13:00:00,49.8,59.32988827978177,57.72992806127022
2017-01-02 14:00:00,51.15,54.7139706187964,55.735015170874966
2017-01-02 15:00:00,51.28,65.35383539548981,59.453903822166005
2017-01-02 16:00:00,55.29,58.39670968631395,56.10060312916258
2017-01-02 17:00:00,66.0,75.89167495520653,75.61665337108829
2017-01-02 18:00:00,70.0,89.79987307173128,81.06120070384783
2017-01-02 19:00:00,70.0,91.18733853365882,79.20622060544342
2017-01-02 20:00:00,64.0,97.46312067796377,90.32099089198796
2017-01-02 21:00:00,56.41,66.37836118977333,63.64332172204569
2017-01-02 22:00:00,51.31,58.39985655991337,54.74757979707394
2017-01-02 23:00:00,51.51,55.304246660293046,54.04938340225776
2017-01-03 00:00:00,49.95,57.723902137520305,53.486908164117686
2017-01-03 01:00:00,49.35,51.45009083424177,51.63829727755724
2017-01-03 02:00:00,49.4,50.24343502438325,50.48141971441066
2017-01-03 03:00:00,49.0,47.79947808680918,49.22300646577441
2017-01-03 04:00:00,48.98,44.13632851540322,47.79250183157235
2017-01-03 05:00:00,49.0,44.56178478195291,48.23784794198387
2017-01-03 06:00:00,49.45,54.20498856549595,51.57575857577199
2017-01-03 07:00:00,51.57,58.40544449870429,54.405144100912544
2017-01-03 08:00:00,57.61,58.01154777715823,57.07410168604953
2017-01-03 09:00:00,58.54,60.75374877552706,58.12720263536647
2017-01-03 10:00:00,58.54,61.52331924474484,60.02484429590543
2017-01-03 11:00:00,61.31,61.670050410429425,59.31090278383223
2017-01-03 12:00:00,61.25,61.74976120369972,62.81760013592426
2017-01-03 13:00:00,51.58,60.11165544728686,58.43080281482355
2017-01-03 14:00:00,51.57,58.82330197106509,56.12908923189173
2017-01-03 15:00:00,57.61,60.75154538366882,60.99882313434894
2017-01-03 16:00:00,73.0,67.8471015941929,63.62676024855398
2017-01-03 17:00:00,71.0,64.70617358107239,76.73735852102068
2017-01-03 18:00:00,85.0,76.34944654328312,95.81908299670607
2017-01-03 19:00:00,91.0,83.7375291052952,100.07047004988029
2017-01-03 20:00:00,80.0,61.94850446275723,93.24205148196774
2017-01-03 21:00:00,62.19,59.157629377010046,75.96346384088255
2017-01-03 22:00:00,51.58,59.0746090517486,58.728901923484784
2017-01-03 23:00:00,51.51,55.77846867676949,54.430151387148086
2017-01-04 00:00:00,51.2,59.19353129035582,56.86663766753604
2017-01-04 01:00:00,49.45,54.16465324770918,52.44019351031952
2017-01-04 02:00:00,49.0,53.72015273944815,51.690323668485036
2017-01-04 03:00:00,48.76,49.70963713881203,50.020778969644255
2017-01-04 04:00:00,47.07,46.318881000045586,48.6287073933456
2017-01-04 05:00:00,48.76,48.52706917323018,49.0839153241254
2017-01-04 06:00:00,49.55,51.92949258334434,51.89264928776658
2017-01-04 07:00:00,64.01,54.65016926093594,56.173829115040505
2017-01-04 08:00:00,64.11,57.49699034349199,59.201823525628555
2017-01-04 09:00:00,64.13,59.050296528391144,62.491207632612394
2017-01-04 10:00:00,64.1,57.514776722261274,61.082240507408144
2017-01-04 11:00:00,64.06,58.92645979436452,59.38616622572877
2017-01-04 12:00:00,64.04,58.98501491794215,60.677099195097504
2017-01-04 13:00:00,64.03,59.62120239566792,59.086768643062676
2017-01-04 14:00:00,63.8,58.671030009449446,63.790033050599945
2017-01-04 15:00:00,64.0,59.43778903410598,66.13736601171605
2017-01-04 16:00:00,64.0,63.43602488589742,64.92487617344008
2017-01-04 17:00:00,64.1,61.861027912210886,68.56191664292628
2017-01-04 18:00:00,64.09,62.72478263973289,82.29728899445362
2017-01-04 19:00:00,64.11,71.82254588402327,84.97273010222952
2017-01-04 20:00:00,64.14,63.80948344267002,84.56116197404715
2017-01-04 21:00:00,64.1,61.985135567102525,71.04852801976047
2017-01-04 22:00:00,51.27,57.839067847116034,56.29086668492765
2017-01-04 23:00:00,50.85,56.33153647050947,53.83453482734829
2017-01-05 00:00:00,49.94,60.51122968393996,54.05002087388463
2017-01-05 01:00:00,47.54,49.04055289803311,51.238680022106536
2017-01-05 02:00:00,46.98,47.33161734757357,50.726286276063014
2017-01-05 03:00:00,46.96,45.269352899224074,49.603151166117414
2017-01-05 04:00:00,46.84,43.9784833179059,48.72893725958628
2017-01-05 05:00:00,46.85,44.11403140202943,48.9952062696729
2017-01-05 06:00:00,46.98,46.745565716847324,51.18315645978179
2017-01-05 07:00:00,49.2,56.22638090848126,54.33852665977487
2017-01-05 08:00:00,59.9,61.70536521113242,63.36011661772495
2017-01-05 09:00:00,60.05,64.12704013876758,70.19300922718021
2017-01-05 10:00:00,60.04,67.47812472366549,70.28844672927822
2017-01-05 11:00:00,59.9,62.78489423287742,74.64288769877734
2017-01-05 12:00:00,51.29,63.487926713659476,72.4270360265969
2017-01-05 13:00:00,51.28,62.5339574409937,60.357167650146586
2017-01-05 14:00:00,50.94,63.28078981175261,58.96085693852176
2017-01-05 15:00:00,59.9,65.13830043147304,57.622417248628594
2017-01-05 16:00:00,59.9,62.183618187821054,58.86138662588759
2017-01-05 17:00:00,59.9,62.12278959595102,60.23645856795389
2017-01-05 18:00:00,60.06,70.4110621613657,74.62354499357004
2017-01-05 19:00:00,60.03,72.91123113040706,72.99932852882614
2017-01-05 20:00:00,59.8,62.99661883672013,70.58972146891395
2017-01-05 21:00:00,59.8,63.23907847326134,63.089631035812495
2017-01-05 22:00:00,49.4,58.38586920861906,56.037045140659686
2017-01-05 23:00:00,47.13,55.231920852024324,54.73956049803838
2017-01-06 00:00:00,47.07,48.519666005066355,55.36390985483091
2017-01-06 01:00:00,46.87,45.394766575536906,48.85670946830603
2017-01-06 02:00:00,46.94,46.5615665719168,48.23540833275413
2017-01-06 03:00:00,45.0,45.23532591315374,48.308446754133826
2017-01-06 04:00:00,46.0,41.100917341955444,46.90167567976933
2017-01-06 05:00:00,46.0,39.48560593917315,46.107997081692865
2017-01-06 06:00:00,43.19,46.25919939965835,48.05198643482671
2017-01-06 07:00:00,46.82,47.695678029290555,49.40912280237032
2017-01-06 08:00:00,49.19,49.189082234245646,52.148120593316044
2017-01-06 09:00:00,49.0,50.9810737036006,55.59274841083299
2017-01-06 10:00:00,49.23,54.32697833867189,54.76299156828786
2017-01-06 11:00:00,49.33,63.83998836188231,56.67911001506592
2017-01-06 12:00:00,51.75,57.087705927189496,61.357516768253184
2017-01-06 13:00:00,51.74,63.64322671263445,58.36583283717771
2017-01-06 14:00:00,48.79,52.962831434988615,54.06706410210768
2017-01-06 15:00:00,48.97,53.81326492386792,54.374228966497235
2017-01-06 16:00:00,49.31,52.948154685630314,54.96208679187972
2017-01-06 17:00:00,49.23,54.18936613398049,56.04674734202502
2017-01-06 18:00:00,49.33,57.92595919215899,63.0676393264743
2017-01-06 19:00:00,49.33,59.2975084974946,65.31095218166068
2017-01-06 20:00:00,49.44,59.698083121965,60.4247763257002
2017-01-06 21:00:00,49.39,57.5315217441095,57.404396412203766
2017-01-06 22:00:00,49.0,54.2748820185153,56.271304197100484
2017-01-06 23:00:00,47.05,54.81844105074611,53.983515747664285
2017-01-07 00:00:00,47.08,57.08843112872124,53.59077230562984
2017-01-07 01:00:00,47.08,53.35516040751708,51.98958523908993
2017-01-07 02:00:00,47.09,54.39526574027638,51.28321942971091
2017-01-07 03:00:00,46.84,49.62719478289312,50.54226322117309
2017-01-07 04:00:00,43.24,46.83350818352152,48.43395405633284
2017-01-07 05:00:00,47.04,46.05587351952247,48.750414584762716
2017-01-07 06:00:00,47.09,52.74116230062309,51.392069851058466
2017-01-07 07:00:00,47.09,53.7947469434223,53.13474587935072
2017-01-07 08:00:00,49.31,57.98771801622587,57.36176913199746
2017-01-07 09:00:00,52.12,60.24842271686094,63.84438830632623
2017-01-07 10:00:00,52.1,71.00353635912343,74.66639213076151
2017-01-07 11:00:00,52.64,71.89442590803672,70.38892019175536
2017-01-07 12:00:00,53.03,67.52778258484693,70.11686152747916
2017-01-07 13:00:00,52.09,62.60404734157624,63.409248877181405
2017-01-07 14:00:00,51.0,72.3692168730624,70.47976388452156
2017-01-07 15:00:00,52.15,71.22473497331498,70.81296472493305
2017-01-07 16:00:00,52.63,73.6781803023773,71.15017174793412
2017-01-07 17:00:00,52.17,63.46056192710128,68.24305916001862
2017-01-07 18:00:00,52.74,74.08969247125263,71.27769414007966
2017-01-07 19:00:00,52.74,71.7939554464297,72.36421002838404
2017-01-07 20:00:00,52.7,73.00992739492006,76.25064262664687
2017-01-07 21:00:00,52.12,62.253814873819906,73.04307727966938
2017-01-07 22:00:00,49.3,60.78168163475871,58.156600767180535
2017-01-07 23:00:00,48.23,57.643872090087044,51.015826587634514
2017-01-08 00:00:00,48.78,60.25789848395726,56.297514987620474
2017-01-08 01:00:00,47.09,57.595557741189744,53.6571592806284
2017-01-08 02:00:00,47.09,54.28150206548178,53.435331927926775
2017-01-08 03:00:00,46.97,51.674032234371495,52.28855303048599
2017-01-08 04:00:00,46.85,48.34378200625095,50.563786590503604
2017-01-08 05:00:00,43.25,47.77853349724102,50.0738159849009
2017-01-08 06:00:00,45.29,51.46349668477361,50.99353596758173
2017-01-08 07:00:00,46.88,51.35583256985885,53.462070567724965
2017-01-08 08:00:00,46.34,52.14775491121637,51.10811422879623
2017-01-08 09:00:00,47.92,54.11189677333872,54.8288349722079
2017-01-08 10:00:00,52.13,55.294306892755465,57.76571337603334
2017-01-08 11:00:00,52.13,57.240723846673525,57.46414651268951
2017-01-08 12:00:00,52.77,57.11233152588654,65.76960387791222
2017-01-08 13:00:00,52.14,57.34194921866223,66.8818779897479
2017-01-08 14:00:00,49.35,60.3696184053697,66.22077809309171
2017-01-08 15:00:00,49.4,64.43847951231352,81.87345523190936
2017-01-08 16:00:00,52.61,61.91435585726187,74.54170889341356
2017-01-08 17:00:00,52.63,59.747267678838746,74.15455287470498
2017-01-08 18:00:00,54.0,66.92436082913376,77.90847649517323
2017-01-08 19:00:00,56.74,67.49199999067086,73.71885423887859
2017-01-08 20:00:00,56.75,68.60172409809994,72.31404950666101
2017-01-08 21:00:00,56.74,72.66049184598127,74.81432163652056
2017-01-08 22:00:00,53.03,76.04223031583369,84.27242163717902
