Year,MAE,RMSE,MdAPE
2016,9.01,11.52,19.7
2017,9.99,16.15,14.59
2018,9.25,11.93,13.33
2019,18.41,20.15,28.84
2020,13.43,16.2,28.76
2021,53.49,85.22,27.09
2022,93.12,123.78,30.59
2023,34.73,44.6,26.05
2024,26.09,51.48,17.06
