datetime,y,yhat_dt,yhat_pdt
17473,44.05,46.16,49.415774647887325
17474,38.85,37.0,45.188320209973746
17475,35.43,40.15,45.188320209973746
17476,32.0,21.97,38.759324181626205
17477,35.43,40.15,45.188320209973746
17478,43.85,49.03,45.188320209973746
17479,47.71,40.12,45.188320209973746
17480,54.12,49.69,52.647849040139626
17481,55.01,49.99,46.38753947368415
17482,54.9,54.57,55.90239263803682
17483,50.33,52.51,46.38753947368415
17484,50.24,52.51,46.38753947368415
17485,50.05,52.51,46.38753947368415
17486,50.05,50.32,52.647849040139626
17487,49.73,49.55,55.90239263803682
17488,54.8,50.3,55.90239263803682
17489,54.9,54.57,55.90239263803682
17490,54.9,46.52,55.90239263803682
17491,54.8,54.57,55.90239263803682
17492,54.8,51.0,55.90239263803682
17493,54.8,53.91,55.90239263803682
17494,49.17,50.12,52.647849040139626
17495,48.06,49.58,52.647849040139626
17496,47.59,50.01,45.188320209973746
17497,35.0,49.03,45.188320209973746
17498,32.0,44.62,45.188320209973746
17499,38.0,41.49,45.188320209973746
17500,30.0,46.78,45.188320209973746
17501,36.0,46.78,45.188320209973746
17502,38.63,43.85,45.188320209973746
17503,46.99,45.9,43.7857756671189
17504,47.75,50.24,52.647849040139626
17505,54.68,49.99,46.38753947368415
17506,54.8,50.36,52.647849040139626
17507,54.33,50.36,52.647849040139626
17508,50.4,50.36,52.647849040139626
17509,50.41,50.36,52.647849040139626
17510,50.31,50.36,52.647849040139626
17511,50.3,49.55,55.90239263803682
17512,54.8,46.52,55.90239263803682
17513,54.9,54.57,55.90239263803682
17514,55.06,54.57,55.90239263803682
17515,55.03,54.57,55.90239263803682
17516,54.9,54.57,55.90239263803682
17517,54.9,47.84,55.90239263803682
17518,50.18,66.0,55.90239263803682
17519,50.16,49.0,52.647849040139626
17520,47.7,49.44,52.647849040139626
17521,38.78,43.32,45.188320209973746
17522,38.63,45.2,45.188320209973746
17523,31.0,44.16,45.188320209973746
17524,32.0,43.89,45.188320209973746
17525,32.0,43.89,45.188320209973746
17526,38.78,47.46,45.188320209973746
17527,47.59,40.12,45.188320209973746
17528,49.86,49.81,52.647849040139626
17529,54.7,50.5,52.647849040139626
17530,54.8,49.55,55.90239263803682
17531,54.8,50.57,55.90239263803682
17532,54.8,50.57,55.90239263803682
17533,54.8,50.57,55.90239263803682
17534,54.6,49.55,55.90239263803682
17535,50.38,50.57,55.90239263803682
17536,55.77,46.52,55.90239263803682
17537,55.08,54.57,55.90239263803682
17538,58.0,79.0,56.24787878787878
17539,58.0,56.0,56.24787878787878
17540,55.23,51.06,56.24787878787878
17541,55.22,49.55,55.90239263803682
17542,50.42,50.12,52.647849040139626
17543,50.32,49.81,52.647849040139626
17544,51.1,52.51,49.415774647887325
17545,49.41,51.12,49.415774647887325
17546,49.42,48.78,49.415774647887325
17547,49.45,50.91,49.415774647887325
17548,48.97,31.34,49.415774647887325
17549,48.75,31.34,49.415774647887325
17550,48.76,31.34,49.415774647887325
17551,48.97,49.58,49.415774647887325
17552,49.0,50.91,49.415774647887325
17553,47.1,44.08,45.188320209973746
17554,48.98,76.93,45.188320209973746
17555,49.45,49.84,52.647849040139626
17556,49.45,40.0,52.647849040139626
17557,49.18,40.0,52.647849040139626
17558,48.3,44.16,43.7857756671189
17559,49.21,46.78,43.7857756671189
17560,49.42,47.48,43.7857756671189
17561,51.13,47.53,55.90239263803682
17562,51.31,47.78,55.90239263803682
17563,51.19,47.78,55.90239263803682
17564,51.17,47.78,55.90239263803682
17565,51.13,47.85,55.90239263803682
17566,49.44,47.65,52.647849040139626
17567,49.32,47.74,52.647849040139626
17568,51.1,51.19,45.188320209973746
17569,49.55,46.55,49.415774647887325
17570,49.54,38.54,45.188320209973746
17571,49.16,38.71,45.188320209973746
17572,47.06,38.71,45.188320209973746
